From Type,From Name,Edge,To Type,To Name,Weight,Amount,Year
Private Sector Company,Deutsche Bank,Debt,Private Sector Company,Trump Holdings,1,,
Person,Jeff Sessions,Reports To,Person,Donald J Trump,1,,
Person,Jeff Sessions,Runs,Government Organization,Department of Justice,1,,
Person,Donald J Trump,Owner,Private Sector Company,Trump Holdings,1,,
Person,Donald J Trump,Direct Report,Person,Jeff Sessions,1,,
Government Organization,Department of Justice,Regulatory Action,Private Sector Company,Deutsche Bank,1,,
Private Sector Company,DynCorp,PAC Contribution,Person,John McCain,,"$1,000",1990
Private Sector Company,DynCorp,PAC Contribution,Person,John McCain,,"$1,000",1992
Private Sector Company,DynCorp,Campaign Contribution,Person,John McCain,,$450,1998
Private Sector Company,DynCorp,Campaign Contribution,Person,John McCain,,$400,2000
Private Sector Company,DynCorp International,Campaign Contribution,Person,John McCain,,"$2,500",2008
Private Sector Company,DynCorp International,PAC Contribution,Person,John McCain,,"$1,000",2010
Private Sector Company,DynCorp International,PAC Contribution,Person,Rob Portman,,"$1,000",2012
Private Sector Company,DynCorp International,PAC Contribution,Person,Tom Carper,,$500,2012
Private Sector Company,DynCorp International,PAC Contribution,Person,Ron Johnson,,$500,2012
Private Sector Company,DynCorp International,PAC Contribution,Person,Tom Carper,,"$1,660",2014
Private Sector Company,DynCorp International,PAC Contribution,Person,John McCain,,"$5,500",2016
Private Sector Company,DynCorp International,PAC Contribution,Person,Jon Tester,,"$1,000",2016
Private Sector Company,Dyncorp Aviation,Campaign Contribution,Person,Rand Paul,,$350,2016
Private Sector Company,DynCorp,Owns,Private Sector Company,DynCorp International,2,,
Private Sector Company,DynCorp,Owns,Private Sector Company,Dyncorp Aviation,2,,
Person,John F. Kelly,Advised,Private Sector Company,Dyncorp,,,
Private Sector Company,ExxonMobile,PAC Contribution,Person,Cory Booker,1,$500,
Private Sector Company,ExxonMobile,PAC Contribution,Person,Chris Coons,1,$250,
Private Sector Company,ExxonMobile,PAC Contribution,Person,Tim Kaine,1,"$1,250",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Robert Menendez,1,"$3,900",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Jeff Merkley,1,"$1,003",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Jeanne Shaheen,1,"$2,000",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Tom Udall,1,"$3,500",
Private Sector Company,ExxonMobile,PAC Contribution,Person,John Barrasso,1,"$25,000",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Bob Corker,1,"$16,000",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Jeff Flake,1,"$11,500",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Cory Gardner,1,"$27,100",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Johnny Isakson,1,"$23,000",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Ron Johnson,1,"$15,835",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Rand Paul,1,"$17,100",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Rob Portman,1,"$20,666",
Private Sector Company,ExxonMobile,PAC Contribution,Person,James Risch,1,"$15,750",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Marco Rubio,1,"$31,251",
Private Sector Company,ExxonMobile,PAC Contribution,Person,Todd Young,1,"$15,050",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,"Brown, Sherrod",1,"$6,550",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,Bob Corker,1,"$5,130",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,Tom Cotton,1,"$2,000",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,Mike Crapo,1,"$48,250",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,Joe Donnelly,1,"$6,500",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,Heidi Heitkamp,1,"$5,000",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,Catherine Cortez Masto,1,"$4,660",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,Robert Menendez,1,"$4,200",
Private Sector Company,Sullivan & Cromwell,PAC Contribution,Person,Jack Reed,1,"$7,000",
