Type,Name,Wikidata ID,Description,Image,Reference,Government Position,Private Sector Position,State
Private Sector Company,Trump Holdings,,,,,,,
Private Sector Company,Deutsche Bank,Q66048,,,,,,
Person,Donald J Trump,Q22686,,,,President,,
Government Organization,Department of Justice,,,,,,,
Person,Terry Branstad,Q39609,,,https://docs.google.com/spreadsheets/d/1yS-sMWDHvtidh6x4i2xTgu8-WpBCkpMmahOdU3b_fcA/edit#gid=670655733,US Ambassador to China,,
Person,Reince Priebus,Q1357640,,,,White House Chief of Staff,,
Person,Steve Bannon,Q16146870,,,,White House Chief Strategist,,
Person,Kellyanne Conway,Q6386365,,,,Counselor to the President,,
Person,Stephen Miller,Q889598,,,,Senior Advisor to the President for Policy,,
Person,Jared Kushner,Q13628723,,,,Senior Advisor to the President for Strategic Planning,,
Person,Dina Powell,Q3278769,,,,Senior Counselor to the President for Economic Initiatives,,
Person,Anthony Scaramucci,Q4773428,,,,Senior Advisor to the President for Public Liaison Intergovernmental Affairs,,
Person,Rudy Giuliani,Q983428,,,,Cybersecurity Advisor,,
Person,Michael Flynn,Q6830341,,,,National Security Advisor,,
Person,K. T. McFarland,Q6376920,,,,Deputy National Security Advisor,,
Person,Monica Crowley,Q6899924,,,,Deputy National Security Advisor for Strategic Communications and Speechwriting,,
Person,Keith Kellogg,Q27916194,,,,Executive Secretary of the National Security Council,,
Person,Andrew Bremberg,Q27916193,,,,Director of the Domestic Policy Council,,
Person,Gary Cohn,Q5524865,,,,Director of the National Economic Council,,
Person,Peter Navarro,Q7176052,,,,Director of the National Trade Council,,
Person,Tom Bossert,Q28062402,,,,Homeland Security Advisor,,
Person,Sean Spicer,Q27829251,,,,White House Press Secretary and White House Director of Communications,,
Person,Joe Hagin,Q6210158,,,,White House Deputy Chief of Staff for Operations,,
Person,Hope Hicks,Q24851563,,,,White House Director of Strategic Communications,,
Person,Dan Scavino,Q28076289,,,,White House Director of Social Media,,
Person,Omarosa Manigault,Q542489,,,,Director of Communications for the White House Office of Public Engagement and Intergovernmental Affairs,,
Person,Bill Stepien,Q4911001,,,,White House Political Director,,
Person,Carl Icahn,Q981479,,,,Special Advisor to the President on Regulatory Reform,,
Person,Jason Greenblatt,Q27829154,,,,Special Representative for International Negotiations,,
Person,Don McGahn,Q5294332,,,,White House Counsel,,
Person,Robert Lighthizer,Q28113710,,,,United States Trade Representative,,
Person,Wilbur Ross,Q8000233,,,,Secretary of Commerce,,
Person,Todd Ricketts,Q20685306,,,,Deputy Secretary of Commerce,,
Person,James Mattis,Q267902,,,,Secretary of Defense,,
Person,Vincent Viola,Q21062504,,,,United States Secretary of the Army,,
Person,Betsy DeVos,Q4898286,,,,Secretary of Education,,
Person,Rick Perry,Q215057,,,,Secretary of Energy,,
Person,Ryan Zinke,Q7384672,,,,Secretary of the Interior,,
Person,Rod J. Rosenstein,Q7356240,,,,Deputy Attorney General,,
Person,Seema Verma,Q27927683,,,,Administrator of the Centers for Medicare and Medicaid Services,,
Person,John F. Kelly,Q6232322,,,,Secretary of Homeland Security,,
Person,Ben Carson,Q816459,,,,Secretary of Housing and Urban Development,,
Person,Andrew Puzder,Q4758328,,,,Secretary of Labor,,
Person,Rex W. Tillerson,Q331401,,,,Secretary of State,,
Person,Nikki Haley,Q11668,,,,Ambassador to the United Nations,,
Person,David Friedman,Q6496792,,,,Ambassador to Israel,,
Person,William F. Hagerty,Q27734214,,,,Ambassador to Japan,,
Person,Elaine Chao,Q263322,,,,Secretary of Transportation,,
Person,Steven Mnuchin,Q24248265,,,,Secretary of the Treasury,,
Person,Jay Clayton,Q28122984,,,,Chair of the Securities and Exchange Commission,,
Person,David Shulkin,Q5239766,,,,Secretary of Veterans Affairs,,
Person,Scott Pruitt,Q7437083,,,,Administrator of the Environmental Protection Agency,,
Person,Linda McMahon,Q233905,,,,Administrator of the Small Business Administration,,
Person,Dan Coats,Q632321,,,,Director of National Intelligence,,
Private Sector Company,DynCorp,Q1268837,,,,,,
Private Sector Company,DynCorp International,,,,,,,
Private Sector Company,Dyncorp Aviation,,,,,,,
Person,Sherrod Brown,Q381880,,,,Senator,,OH
Person,Maria Cantwell,Q22250,,,,Senator,,WA
Person,Benjamin L. Cardin,Q723295,,,,Senator,,MD
Person,Thomas R. Carper,Q457432,,,,Senator,,DE
Person,"Robert P. Casey, Jr.",Q887841,,,,Senator,,PA
Person,Bob Corker,Q331719,,,,Senator,,TN
Person,Dianne Feinstein,Q230733,,,,Senator,,CA
Person,Orrin G. Hatch,Q381157,,,,Senator,,UT
Person,Amy Klobuchar,Q22237,,,,Senator,,MN
Person,Claire McCaskill,Q22260,,,,Senator,,MO
Person,Robert Menendez,Q888132,,,,Senator,,NJ
Person,Bill Nelson,Q358437,,,,Senator,,FL
Person,Bernard Sanders,Q359442,,,,Senator,,VT
Person,Debbie Stabenow,Q241092,,,,Senator,,MI
Person,Jon Tester,Q529351,,,,Senator,,MT
Person,Sheldon Whitehouse,Q652066,,,,Senator,,RI
Person,John Barrasso,Q720521,,,,Senator,,WY
Person,Roger F. Wicker,Q390491,,,,Senator,,MS
Person,Lamar Alexander,Q419976,,,,Senator,,TN
Person,Thad Cochran,Q723896,,,,Senator,,MS
Person,Susan M. Collins,Q22279,,,,Senator,,ME
Person,John Cornyn,Q719568,,,,Senator,,TX
Person,Richard J. Durbin,Q434804,,,,Senator,,IL
Person,Michael B. Enzi,Q432431,,,,Senator,,WY
Person,Lindsey Graham,Q22212,,,,Senator,,SC
Person,James M. Inhofe,Q723134,,,,Senator,,OK
Person,Mitch McConnell,Q355522,,,,Senator,,KY
Person,Jeff Merkley,Q1368405,,,,Senator,,OR
Person,Jack Reed,Q6114775,,,,Senator,,RI
Person,James E. Risch,Q721871,,,,Senator,,ID
Person,Pat Roberts,Q538375,,,,Senator,,KS
Person,Jeff Sessions,Q358443,,,,Senator,,AL
Person,Jeanne Shaheen,Q270316,,,,Senator,,NH
Person,Tom Udall,Q957690,,,,Senator,,NM
Person,Mark R. Warner,Q453893,,,,Senator,,VA
Person,Kirsten E. Gillibrand,Q22222,,,,Senator,,NY
Person,Al Franken,Q319084,,,,Senator,,MN
Person,Christopher A. Coons,Q923242,,,,Senator,,DE
Person,"Joe Manchin, III",Q538868,,,,Senator,,WV
Person,Robert B. Aderholt,Q672671,,,,Representative,,AL
Person,Justin Amash,Q1714165,,,,Representative,,MI
Person,Tammy Baldwin,Q40628,,,,Senator,,WI
Person,Lou Barletta,Q25568,,,,Representative,,PA
Person,Joe Barton,Q966261,,,,Representative,,TX
Person,Karen Bass,Q461739,,,,Representative,,CA
Person,Xavier Becerra,Q1855840,,,,Representative,,CA
Person,Michael F. Bennet,Q554792,,,,Senator,,CO
Person,Gus M. Bilirakis,Q1555314,,,,Representative,,FL
Person,Rob Bishop,Q433857,,,,Representative,,UT
Person,"Sanford D. Bishop, Jr.",Q983428,,,,Representative,,GA
Person,Diane Black,Q515935,,,,Representative,,TN
Person,Marsha Blackburn,Q458971,,,,Representative,,TN
Person,Earl Blumenauer,Q748066,,,,Representative,,OR
Person,Richard Blumenthal,Q2023708,,,,Senator,,CT
Person,Roy Blunt,Q1525924,,,,Senator,,MO
Person,John Boozman,Q1344707,,,,Senator,,AR
Person,Madeleine Z. Bordallo,Q292988,,,,Representative,,GU
Person,Kevin Brady,Q472241,,,,Representative,,TX
Person,Robert A. Brady,Q434522,,,,Representative,,PA
Person,Mo Brooks,Q1941306,,,,Representative,,AL
Person,Vern Buchanan,Q2517229,,,,Representative,,FL
Person,Larry Bucshon,Q944286,,,,Representative,,IN
Person,Michael C. Burgess,Q539521,,,,Representative,,TX
Person,Richard Burr,Q331278,,,,Senator,,NC
Person,G. K. Butterfield,Q983532,,,,Representative,,NC
Person,Ken Calvert,Q538978,,,,Representative,,CA
Person,Shelley Moore Capito,Q459618,,,,Senator,,WV
Person,Michael E. Capuano,Q551578,,,,Representative,,MA
Person,André Carson,Q517649,,,,Representative,,IN
Person,John R. Carter,Q369814,,,,Representative,,TX
Person,Bill Cassidy,Q861999,,,,Senator,,LA
Person,Kathy Castor,Q458492,,,,Representative,,FL
Person,Steve Chabot,Q506694,,,,Representative,,OH
Person,Jason Chaffetz,Q1683881,,,,Representative,,UT
Person,Judy Chu,Q460035,,,,Representative,,CA
Person,David N. Cicilline,Q506694,,,,Representative,,RI
Person,Yvette D. Clarke,Q461679,,,,Representative,,NY
Person,Wm. Lacy Clay,Q959455,,,,Representative,,MO
Person,Emanuel Cleaver,Q1334654,,,,Representative,,MO
Person,James E. Clyburn,Q1289889,,,,Representative,,SC
Person,Mike Coffman,Q547218,,,,Representative,,CO
Person,Steve Cohen,Q512330,,,,Representative,,TN
Person,Tom Cole,Q173839,,,,Representative,,OK
Person,K. Michael Conaway,Q538944,,,,Representative,,TX
Person,Gerald E. Connolly,Q1514859,,,,Representative,,VA
Person,"John Conyers, Jr.",Q1370968,,,,Representative,,MI
Person,Jim Cooper,Q973737,,,,Representative,,TN
Person,Jim Costa,Q675869,,,,Representative,,CA
Person,Joe Courtney,Q5250917,,,,Representative,,CT
Person,Mike Crapo,Q734319,,,,Senator,,ID
Person,"Eric A. ""Rick"" Crawford",Q7331312,,,,Representative,,AR
Person,Joseph Crowley,Q971318,,,,Representative,,NY
Person,Henry Cuellar,Q539562,,,,Representative,,TX
Person,John Abney Culberson,Q671976,,,,Representative,,TX
